Kanji	Reading	Meaning	Level	Year	Strokes	Examples	Etymology	Mnemonic	Images
械	KAI	device	L3	459	11	器械 [KIKAI] - apparatus; 機械 [KIKAI] - machine; 機械化 [KIKAIKA] - mechanization	Seal ; a late graph ( Shuowen ). Has 木 73 ‘tree, wood’, and 戒 1095 (‘warn, admonish’ qv) functioning here either semantically to mean ‘admonish’, to give an overall meaning of ‘wooden item used to admonish’, i.e. handcuffs or shackles, or phonetically with an associated sense of ‘device, tool’, to give ‘wooden device/tool’. The latter sense may be regarded as a generalised meaning based on the former. KJ1970:147; YK1976:90; OT1968:506. Again we suggest two mnemonics, one using 戒 as it stands, with its meaning of ‘admonish,’ and one breaking it down to its component parts: 戈 545 ‘halberd’ with indicating two hands.	WOODEN DEVICE FOR ADMONISHING Or: A TWO-HANDED WOODEN HALBERD IS A USEFUL DEVICE	images/Chapter4_img_34.jpg; images/Chapter4_img_35.jpg
害	GAI	harm, damage	L3	460	10	損害 [SONGAI] - damage, loss; 殺害 [SATSUGAI] - murder; 妨害 [BŌGAI] - obstruction		COVERING LIVE MOUTH CAN CAUSE HARM	
街	GAI, KAI, machi	road, town, area	L1	461	12	市街 [SHIGAI] - town, city; 街道 [KAIDŌ] - highway; 街頭 [GAITŌ] - street	Seal ; a late graph ( Shuowen ). Has 行 131 ‘go/crossroads’, and NJK 圭 (originally piled up 土 64 ‘earth’ as boundary between fields, later ‘corner’) as phonetic with associated sense historically taken as ‘diverge’, but in modern times as ‘join’, to give ‘roads which join’. By extension, ‘(busy) area’, ‘town’. KJ1970:153; YK1976:93; TA1965:509-12.	TOWN WITH PILED UP EARTH ON ITS CROSSROADS	images/Chapter4_img_39.jpg
各	KAKU, ono-ono	each	L3	462	6	各駅 [KAKUEKI] - each station; 各国 [KAKKOKU] - each country; 各自 [KAKUJI] - each, respectively		EACH OF US HAS PUT OUR FOOT IN OUR MOUTH	
覚	KAKU, obo	remember, awake	L3	463	12	自覚 [JIKAKU] - self-awareness; 目覚め [mezame] - awakening; 覚書 [oboegaki] - memorandum	Seal ; a late graph ( Shuowen ); traditional form 覺 . Has 見 20 ‘look/see’ (originally ‘appear before the eyes’), and (join pieces of wood with the hands, presumably timbers on a roof [ 冖 / 宀 ]: see 11 and 30) as phonetic with associated sense ‘clear, evident’, to give ‘become clear before the eyes’, and extended senses such as ‘discern, understand’. KJ1970:195; YK1976:96; OT1968:915; MS1995:v2:1176-7. As with 学 11, we suggest taking the upper part as ‘ornate roof’.	WHEN AWAKE, REMEMBER TO LOOK AT ORNATE ROOF	images/Chapter4_img_42.jpg; images/Chapter4_img_43.jpg
完	KAN	complete	L3	464	7	完成 [KANSEI] - completion; 未完 [MIKAN] - incompletion; 完全 [KANZEN] - perfect	Seal ; a late graph ( Shuowen ). Has 宀 30 ‘roof, house’, and 元 117 (‘origin’) as phonetic with associated sense ‘hedge, wall’, to give ‘fence/wall around a house’. By extension, ‘fence/wall which completely surrounds’ gives the abstract meaning ‘complete’. KJ1970:339-40; YK1976:101; OT1968:272.	COMPLETELY ORIGINAL ROOF	images/Chapter4_img_44.jpg
官	KAN	government, official	L3	465	8	警官 [KEIKAN] - policeman; 官僚 [KANRYŌ] - bureaucracy; 官庁 [KANCHŌ] - government office		GOVERNMENT OFFICIAL IN BUILDING SITS ON BACKSIDE	
管	KAN, kuda	pipe, control	L3	466	14	管理 [KANRI] - control; 気管 [KIKAN] - windpipe; 管々しい [kudakudashii] - verbose	Seal ; a late graph ( Shuowen ). Has 58 ‘bamboo’, and 官 465 (‘house/building with minor official’) as phonetic with associated sense ‘pierce, penetrate’ (Ogawa says ‘hole’), to give ‘pierced length of bamboo’, and so ‘bamboo wind instrument’; also used in generalized sense for ‘pipe’. Its meaning of ‘control’ is possibly an extended meaning based on control of a wind instrument. KJ1970:335; YK1976:105; OT1968:754.	BAMBOO PIPE UNDER CONTROL BY OFFICIAL	images/161a.jpg; images/60e.jpg
関	KAN, seki	barrier, connection	L3	467	14	関東 [KANTŌ] - Kantō district; 関心 [KANSHIN] - interest; 関の山 [sekinoyama] - one’s utmost		THE GATES OF HEAVEN ARE A BARRIER – SENT AWAY	
観	KAN	watch, observe	L3	468	18	観光 [KANKŌ] - sightseeing; 観察 [KANSATSU] - observation; 観客 [KANKYAKU] - spectator	Seal ; traditional 觀 . Has 見 20 ‘see’ or 目 76 ‘eye’, with 雚 (properly CO, ‘crested bird’) being used as a phonetic with associated sense ‘turn, rotate’, to give ‘look all around’. KJ1970: 340-41; MS1995:v2:1180-81; YK1976:107; KZ2001:3053/3671. We suggest taking as a crested variant of 324 ‘short-tailed bird’.	BIRD WATCHER OBSERVES CRESTED BIRD	images/Chapter4_img_52.jpg; images/Chapter4_img_53.jpg; images/Chapter4_img_54.jpg; images/Chapter4_img_55.jpg
願	GAN, nega	request, wish	L3	469	19	志願者 [SHIGANSHA] - applicant; 願望的 [GANBŌTEKI] - wishful; 願い事 [negaigoto] - prayer	Seal ; a late graph ( Shuowen ). Has 頁 103 ‘head’, and 原 119 (‘spring/plain’) as a phonetic with associated sense ‘big’, to give ‘large head’. The meaning ‘request, wish’ is a loan usage. YK1976:109; KJ1970:337-8; OT1968:1108.	I WISH TO LAY MY HEAD ON AN OPEN PLAIN	images/Chapter4_img_56.jpg
希	KI, KE	desire, rare	L3	470	7	希望 [KIBŌ] - wish; 希求 [KIKYŪ] - desire; 希薄 [KIHAKU] - thinness		INTERWOVEN CLOTH THREADS DESIRABLE BUT RARE	
季	KI	season, young	L3	471	8	季節 [KISETSU] - season; 四季 [SHIKI] - the four seasons; 季刊 [KIKAN] - quarterly publication		GRAIN PLANTS IN SEASON GROW LIKE YOUNG CHILDREN	
紀	KI	chronicle, start	L1	472	9	紀元 [KIGEN] - epoch, era; 紀行 [KIKŌ] - travelogue; 五世紀 [GOSEIKI] - fifth century	Seal ; late graph ( Shuowen ). Has 己 866 (modern meaning ‘self’) in broad original sense of ‘length of thread’ (Yamada takes as phonetic also) with meaning extended to ‘beginning’ (one of the ends of the thread), later clarified by adding determinative ‘thread’ 糸 29. Yamada treats the sense ‘record, chronicle’ as loan usage, but alternatively it may be extended usage on the basis of the thread of continuity in an account or record. As Qiu notes – with reference to Chinese – there is some overlap in usage of 紀 and 記 115 ‘account, record’, and this may also be the case in Japanese. KJ1970:234; YK1976:112; OT1968:766; QX2000:297-8; AS2007:298.	THREADS IN CHRONICLE OF ONESELF START FROM BEGINNING	images/Chapter4_img_62.jpg
喜	KI, yoroko	rejoice, happy	L3	473	12	喜劇 [KIGEKI] - comedy; 歓喜 [KANKI] - delight; 大喜び [ōyorokobi] - great joy		HAPPINESS IS HAVING TEN BEANS IN YOUR MOUTH	
旗	KI, hata	flag	L1	474	14	国旗 [KOKKI] - national flag; 旗持ち [hatamochi] - flag bearer; 旗魚 [kajiki*] - billfish	Seal ; late graph ( Shuowen ). Has 353 (‘flagpole and streaming banner’) ‘flag’, and 其 269 (originally ‘winnowing basket’, later other senses including ‘that’) as phonetic with associated sense ‘gather together’, to give ‘flag for troops to gather under’. KJ1970:240; YK1976:117; OT1968:457. Suggest 方 223 as ‘side’, and as 41 ‘person’.	PERSON AT SIDE OF WINNOWING BASKET HOLDS A FLAG	images/Chapter4_img_70.jpg; images/Chapter4_img_71.jpg; images/Chapter4_img_69.jpg
器	KI, utsuwa	vessel, utensil, skill, ability	L3	475	15	器具 [KIGU] - utensil; 食器 [SHOKKI] - tableware; 器用 [KIYŌ] - skill		FOUR BIG BOX-LIKE VESSELS ARE USEFUL UTENSILS	
機	KI, hata	loom, device, occasion	L3	476	16	機能 [KINŌ] - function; 機会 [KIKAI] - opportunity; 機織 [hataori] - weaving		ON HOW MANY OCCASIONS IS A WOODEN LOOM USED?	
議	GI	discussion	L3	477	20	議論 [GIRON] - discussion; 会議 [KAIGI] - conference; 議会 [GIKAI] - the Diet	Seal ; a late graph ( Shuowen ). Has 言 118 ‘words, speech’, and 義 674 (originally denoted a beautiful dance or appearance, now meaning ‘righteousness’, qv) as phonetic with associated sense ‘criticize’ (Katō, Yamada, Shirakawa) or as semantic element meaning ‘correct’ (Ogawa; a meaning already found at the OBI stage, according to Schuessler). Either way, ‘discuss’ is the result of a generalized shift in meaning. KJ1970:240-41; YK1976:120; SS1984:165; OT1968:944; AS2007:566.	DISCUSSION INVOLVES RIGHTEOUS WORDS	images/Chapter4_img_78.jpg
求	KYŪ, moto	request, seek	L3	478	7	要求 [YŌKYŪ] - demand; 追求 [TSUIKYŪ] - pursuit; 求職 [KYŪSHOKU] - seeking work		CROSS WATER TO SEEK SPOTTED FUR	
泣	KYŪ, na	weep, cry	L3	479	8	泣訴 [KYŪSO] - imploring; 泣き虫 [nakimushi] - ‘cry baby’; 泣き出す [nakidasu] - burst into tears		STAND WEEPING WATERY TEARDROPS	
救	KYŪ, suku	rescue, redeem	L3	480	11	救命ブイ [KYŪMEIBUI] - lifebuoy; 救援 [KYŪEN] - rescue, relief; 救い出す [sukuidasu] - extricate		BEING BEATEN – REQUEST RESCUE	
給	KYŪ, tama	supply, bestow	L3	481	12	供給 [KYŌKYŪ] - supply; 月給 [GEKKYŪ] - monthly pay; 来給え [kitamae] - Come!	Seal ; a late graph ( Shuowen ). Has 糸 29 ‘thread’ (originally silk thread), and 合 134 (‘join’) as semantic and phonetic, to give ‘join up silk threads’. This involved quickly joining up broken silk threads from cocoons in the silk manufacturing process, and so ‘supplement, make up (a deficiency)’ evolved as an extended use. In modern Japanese, also employed occasionally for the verbal suffix – tamau , based on the older honorific verb tamau ‘to bestow’ (of a superior to an inferior). OT1968:776; KJ1970:260-61; YK1976:127.	SUPPLY JOINED THREADS	images/Chapter4_img_85.jpg
挙	KYO, a	raise, offer, act, perform, together	L1	482	10	挙手 [KYOSHU] - raising hands; 選挙 [SENKYO] - election; 一挙に [IKKYO ni] - at a stroke		HAND RAISES LADEN TABLE – SOME ACT!	
漁	GYO, RYŌ	fishing	L1	483	14	漁船 [GYOSEN] - fishing boat; 漁師 [RYŌSHI] - (pro) fisherman; 漁業 [GYOGYŌ] - fishery		FISHING MEANS CATCHING FISH IN WATER	
共	KYŌ, tomo	together	L3	484	6	共通 [KYŌTSŪ] - commonality; 共食い [tomogui] - cannibalism; 共同 [KYŌDŌ] - joint-		PLANT AND TABLE GO TOGETHER	
協	KYŌ	cooperate	L3	485	8	協定 [KYŌTEI] - agreement; 協力 [KYŌRYOKU] - cooperation; 協会 [KYŌKAI] - association	Seal ; late graph ( Shuowen ). The underlying word seems to have been represented in writing already in Shang times, as there is an OBI form comprising 力 78 ‘strength’ tripled listed by Mizukami, meaning ‘collect strength and put together’. The graph 十 35 ‘ten, many’ was added at seal stage to reinforce the meaning, with a phonetic role with associated meaning ‘collect’ (Katō). MS1995:v1:168-9,138-9; KJ1970:360; YK1976:132.	TEN TRIPLE-STRONG ARMS COOPERATING	images/Chapter4_img_95.jpg
鏡	KYŌ, kagami	mirror	L1	486	19	望遠鏡 [BŌENKYŌ] - telescope; 鏡台 [KYŌDAI] - dressing table; 手鏡 [tekagami] - hand mirror	Seal ; late graph ( Shuowen ). Has 金 16 ‘metal’, and NJK 竟 (‘end’, originally of a piece of music) as phonetic with associated sense ‘appearance, shape’. In early China, mirrors were typically thin discs made of bronze, with the back decorated – often ornately – with patterns and motifs of great significance (mythological, etc.), and often featured inscriptions also. Bronze was a material used extensively for ritual artefacts such as mirrors, affordable only to the wealthy. KJ1970:350-51; OT1968:1049; YK1976:135. Suggest taking 竟 as its components 音 6 ‘sound’ and 儿 41 ‘bent legs’, for a Zen-like mnemonic.	THE SOUND OF BENT LEGS IN A METAL MIRROR!?	images/Chapter4_img_96.jpg
競	KYŌ, KEI, kiso	compete, bid	L3	487	20	競争 [KYŌSŌ] - competition; 競馬 [KEIBA] - horse race; 競り売り [seriuri] - auction		TWO ELDER BROTHERS COMPETE IN STAND-OFF	
極	KYOKU, GOKU, kiwa	extreme, pole	L3	488	12	北極 [HOKKYOKU] - North Pole; 至極 [SHIGOKU] - extremely; 消極 [SHŌKYOKU] - cathode	Seal ; late graph ( Shuowen ). Has 木 73 ‘tree/wood’ and CO 亟 (‘urge on, hurry’) as phonetic, typically taken as having associated sense ‘in the highest place’, thus timber in the highest place in a building, i.e. ‘ridgebeam’; by extension, ‘extremity, limit’ (Katō, Ogawa, Yamada). Shirakawa, by contrast, believes the initial meaning of 極 was a form of capital punishment (later written 殛 ), and that ridgebeam is a later meaning. KJ1970:284-5; YK1976:138; OT1968:515; SS1984:206; MS1995:v1:32-3. Awkward mnemonically but we suggest as two lines/bars 二 , with 口 22 ‘mouth/opening’, and hook, and 2003 ‘hand’.	EXTREMELY HOOKED HAND IN OPENING BETWEEN TWO WOODEN BARS	images/Chapter4_img_97.jpg; images/Chapter4_img_98.jpg; images/Chapter4_img_99.jpg; images/Chapter4_img_100.jpg
訓	KUN	instruction, kun	L3	489	10	訓読み [KUNyomi] - kun reading; 訓練 [KUNREN] - training; 教訓的 [KYŌKUNTEKI] - edifying	Seal ; a late graph ( Shuowen ). Has 言 118 ‘words’, and 川 50 (‘river’) as phonetic with associated sense ‘follow’, to give ‘make to follow using words, instruct’. Also has the specific meaning ‘native Japanese reading for a Chinese character’, or ‘ kun reading’. The graph also retains its early meaning ‘instruct’, reflecting the fact that when Chinese script and language were brought to Japan, the Japanese were instructed in the meanings of Chinese characters. KJ1970:344; MS1995:v2:1186-7; YK1976:144; OT1968:921.	DURING INSTRUCTION ABOUT	images/Chapter4_img_101.jpg
軍	GUN	army, military	L3	490	9	空軍 [KŪGUN] - airforce; 軍人 [GUNJIN] - military (wo)man; 米軍 [BEIGUN] - US forces		COVERED MILITARY VEHICLES	
郡	GUN, kōri	county, district	L1	491	10	郡部 [GUNBU] - rural district; 郡山 [Kōriyama] - a place name; 和気郡 [WAKEGUN Wake] - County	Seal ; a late graph ( Shuowen ). Has 阝 376 (as abbreviated right-hand form of 邑 ‘settlement, village’), and 君 285 (‘lord’) as phonetic with associated sense ‘collect, accumulate’, to give ‘a collection of settlements’. This served as an administrative unit for such (of varying scale) from an early period in China, and then in Japan, where it is still used. KJ1970:343; YK1976:145; OT1968:1020.	VILLAGE BELONGS TO LORD OF COUNTY DISTRICT	images/Chapter4_img_104.jpg
径	KEI	path, direct	L1	492	8	直径 [CHOKKEI] - diameter; 径路 [KEIRO] - route; 捷径 [SHŌKEI] - short cut	Seal ; traditional 徑 . Late graph ( Shuowen ). Has 彳 131 ‘road, go’, and 巠 287 (thread stretched on a loom) as phonetic with associated sense ‘straight’ (Tōdō, Shirakawa, Ogawa). Thus ‘direct path’. However, Katō and Yamada take 巠 as ‘small’. This is just one of many examples of divergence in assessing the associated sense of a phonetic in the same graph – in this case, it seems to result from two different interpretations of the same explanation for 巠 in Zilin , a Chinese dictionary compiled ca. 300AD which has survived only in fragments. TA1965:498-9; SS1984:227-8; OT1968:347; KJ1970:345-6; YK1976:147. Take modern right-hand elements as 又 2003 ‘hand’ and 土 64 ‘ground’.	DIRECT PATH ENTAILS MOVING WITH HANDS ON GROUND	images/Chapter4_img_105.jpg
型	KEI, kata	type, model, mold	L3	493	9	原型 [GENKEI] - prototype; 大型 [ōgata] - large size; 典型的 [TENKEITEKI] - typical		MODEL PUNISHMENT FOR EARTHY TYPES	
景	KEI, KE	scene, view, bright	L3	494	12	光景 [KŌKEI] - sight, spectacle; 景気 [KEIKI] - liveliness, business; 景色 [KESHIKI] - scenery	Seal ; a late graph ( Shuowen ). Has 日 66 ‘sun’, and 京 110 (‘capital’) as phonetic with associated sense ‘light’ (Katō, Yamada) or ‘demarcate’ (Ogawa, Tōdō). The latter sense derives from the clear boundary or line of demarcation between light and the shadow cast by an object; in Tōdō’s word-family ‘firm/clearly demarcate’, together with 境 680 ‘boundary’. KJ1970:83; YK1976:150; OT1968:470; TA1965:394-6.	SUNNY CAPITAL IS A BRIGHT SCENE	images/Chapter4_img_109.jpg
芸	GEI	art, skill, plant	L3	495	7	芸術 [GEIJUTSU] - art; 手芸 [SHUGEI] - handicraft; 芸者 [GEISHA] - geisha		THEY SAY THAT PLANTING IS A SKILLED ART	
欠	KETSU, ka	lack, gap, omit	L3	496	4	欠席者 [KESSEKISHA] - absentee; 欠点 [KETTEN] - a fault; 欠け目 [kakeme] - a break, rupture		HOUSE LACKS PEOPLE	
結	KETSU, musu	bind, join, end	L3	497	12	結婚 [KEKKON] - marriage; 結果 [KEKKA] - result; 結び目 [musubime] - knot	Seal ; a late graph ( Shuowen ). Has 糸 29 ‘thread’, and 吉 1196 (‘good fortune’) as phonetic with associated sense ‘bend’ (Katō, Yamada) or ‘fasten tightly’ (Tōdō, Ogawa). Either interpretation gives ‘tie knot in thread/rope’, and then by extension the more generalized ‘join up’; ‘conclude, tie up’ is a further, figurative extension. KJ1970:230; YK1976:154; TA1965:784-7; OT1968:777. We suggest 士 521 ‘samurai’ and 口 22 ‘mouth’.	BIND SAMURAI’S MOUTH WITH THREAD	images/Chapter4_img_115.jpg
建	KEN, KON, ta	build, erect	L4	498	9	建設 [KENSETSU] - construction; 建立 [KONRYŪ*] - erection; 建物 [tatemono] - a building		HAND HOLDS PEN ERECT WHILE MOVING IT	
健	KEN, suko	healthy	L3	499	11	健康 [KENKŌ] - health; 健全 [KENZEN] - soundness; 壮健 [SŌKEN] - healthy	Seal ; a late graph ( Shuowen ). Has 亻 41 ‘person’, and 建 498 (‘erect, build’) as phonetic with associated sense ‘strong’, to give ‘strong person’; meaning later generalized to ‘strong’, and by extension ‘healthy’. KJ1970:385; YK1976:159; OT1968:74.	HEALTHY PERSON STANDS ERECT	images/Chapter4_img_120.jpg
